teamid;teamname;category;protect_from_transfer
1318;Angleterre;national;1
1322;Autriche;national;1
1325;Belgique;national;1
1328;Croatie;national;1
1330;Tchéquie;national;1
1331;Danemark;national;1
1334;Finlande;national;1
1335;France;national;1
1337;Allemagne;national;1
1341;Islande;national;1
1343;Italie;national;1
1352;Norvège;national;1
1353;Pologne;national;1
1354;Portugal;national;1
1355;République d'Irlande;national;1
1356;Roumanie;national;1
1359;Écosse;national;1
1362;Espagne;national;1
1363;Suède;national;1
1364;Suisse;national;1
1365;Turquie;national;1
1366;Ukraine;national;1
1367;Pays de Galles;national;1
1369;Argentine;national;1
1370;Brésil;national;1
1375;Paraguay;national;1
1377;Uruguay;national;1
1386;Mexique;national;1
1387;États-Unis;national;1
1391;Tunisie;national;1
1411;Japon;national;1
1415;Australie;national;1
1667;Sénégal;national;1
110081;Irlande du Nord;national;1
111099;Afrique du Sud;national;1
111109;Colombie;national;1
111111;Maroc;national;1
111112;Côte d'Ivoire;national;1
111114;Arabie saoudite;national;1
111115;RI Iran;national;1
111130;Égypte;national;1
111448;Algérie;national;1
111455;Canada;national;1
111456;Cap-Vert;national;1
111462;Ghana;national;1
111465;Équateur;national;1
111473;Nouvelle-Zélande;national;1
111475;Panama;national;1
111485;Ouzbékistan;national;1
111510;Indonésie;national;1
111512;Irak;national;1
111513;Jordanie;national;1
111527;Qatar;national;1
111545;RD du Congo;national;1
112048;Haïti;national;1
112054;Curaçao;national;1
113000;Canada;national_women;1
113002;Angleterre;national_women;1
113003;France;national_women;1
113004;Allemagne;national_women;1
113007;Norvège;national_women;1
113008;Suède;national_women;1
113009;États-Unis;national_women;1
113010;Mexique;national_women;1
113011;Pays-Bas;national_women;1
113012;Espagne;national_women;1
113984;Écosse;national_women;1
113996;Argentine;national_women;1
115362;Danemark;national_women;1
115682;Portugal;national_women;1
116428;Islande;national_women;1
131124;Finlande;national_women;1
131877;Pologne;national_women;1
